rank,team_name,validation_f1_ideal,validation_f1_perturbed,robustness_gap
1,Idrees_Bhat,0.6570959803117309,0.7194421657095981,-0.06234618539786718
2,Vinit_Singroha,0.5594202898550724,0.6458781362007169,-0.08645784634564446
3,Nour_maj,0.5928571428571429,0.2549019607843137,0.33795518207282915
4,Hadil_AFFES,0.5928571428571429,0.2549019607843137,0.33795518207282915
